Symbol	Company	
Price
52 Wk
Change %
Estimated
Valuation
Total Funding
Raised
Latest Funding
Date
Latest Amount
Raised
Latest Round
Share Class
Private Company
Sector
ANTH.PVT
Anthropic	
589.01
+898.32%	965.001B	68.15B	2026-05-27	41.287B	Series H-1	Artificial Intelligence
OPAI.PVT
OpenAI	
721.85
+80.12%	894.326B	178.07B	2026-03-30	68,209	Series C-NV	Artificial Intelligence
DATB.PVT
Databricks	
264.90
+134.94%	191.876B	20.551B	2026-08-12	5B	Series L-2	Data and Analytics
STRI.PVT
Stripe	
72.45
+99.64%	184.401B	8.733B	2026-02-23	--	Tender Offer 3	Financial Services
ANIN.PVT
Anduril Industries	
130.03
+106.59%	115.037B	11.955B	2026-05-12	5B	Series H	Government and Military
RAMP.PVT
Ramp	
125.55
+93.15%	46.035B	2.191B	2026-06-03	726.863M	Series F	Financial Services
KLSH.PVT
Kalshi	
962.28
+2,040.30%	35B	2.531B	2026-03-18	1B	Series F	Financial Services
NEUR.PVT
Neuralink	
150.00
+98.36%	28.663B	1.337B	2025-06-01	649M	Series E	Biotechnology
CUES.PVT
Crusoe	
224.54
+669.76%	26.728B	2.62B	2025-10-23	1.375B	Series E	Energy
FANA.PVT
Fanatics	
53.50
+27.38%	21.774B	4.404B	2022-12-05	700M	Private Equity Round 3	Commerce and Shopping
PEAI.PVT
Perplexity	
67.31
+6.93%	19.737B	2.254B	2025-09-25	525M	Series E-6	Artificial Intelligence
RIPP.PVT
Rippling	
58.62
+7.11%	18.94B	1.414B	2025-05-08	460.183M	Tender Offer 1	Administrative Services
RIPL.PVT
Ripple	
105.56
-5.34%	17.36B	575.065M	2026-03-10	500M	Tender Offer 1	Blockchain and Crypto
SKIA.PVT
Skild AI	
71.04
+188.43%	15.312B	2.217B	2026-01-13	694.067M	Series C	Hardware
SAAQ.PVT
SandboxAQ	
41.35
+165.06%	13.888B	916.376M	2026-05-20	500M	Series F	Privacy and Security
SHAI.PVT
Shield AI	
164.25
+82.50%	13.573B	2.532B	2026-03-25	1.5B	Series G	Government and Military
POLA.PVT
Polymarket	
135.91
+1,508.40%	13.404B	2.27B	2026-03-25	1,000M	Series E	Blockchain and Crypto
EPGA.PVT
Epic Games	
334.55
-25.66%	12.546B	7.53B	2024-02-07	1.5B	Corporate Round	Media and Entertainment
ZIPL.PVT
Zipline	
81.71
+202.63%	11.328B	1.953B	2026-03-22	800M	Series H	Supply Chain and Logistics
DISO.PVT
Discord	
40.75
+70.00%	11.101B	1.005B	2021-08-14	499.999M	Series I	Messaging and Telecommunications
VERC.PVT
Vercel	
223.52
+162.96%	10.35B	863.022M	2025-09-29	299.999M	Tender Offer 1	Software
KRAK.PVT
Kraken	
29.41
-30.44%	9.569B	965.021M	2025-11-17	200M	Series D	Blockchain and Crypto
REPI.PVT
Replit	
256.70
+180.52%	9.306B	854.09M	2026-03-10	400M	Series D	Software
NETS.PVT
Netskope	
22.49
+58.16%	8.249B	1.05B	2021-07-08	300M	Series H	Privacy and Security
LAMD.PVT
Lambda	
39.32
-5.48%	7.189B	2.364B	2025-11-17	410.284M	Series E-3	Data and Analytics
SANS.PVT
SambaNova	
82.63
+298.99%	7.151B	1.436B	2026-07-07	166.667M	Series F Non-Voting	Hardware
WHOO.PVT
WHOOP	
7.39
+291.01%	6.644B	958.852M	2026-03-30	46.805M	Series G-2	Consumer Goods
GLEA.PVT
Glean	
44.43
-21.29%	6.526B	774.5M	2025-06-09	150M	Series F	Data and Analytics
ABRI.PVT
Abridge	
174.83
+10.32%	5.847B	757.979M	2025-06-23	315.935M	Series E	Software
VERK.PVT
Verkada	
10.50
+12.66%	5.66B	655.544M	2025-11-04	20M	Series F	Privacy and Security
MERC.PVT
Mercury	
17.37
+27.53%	5.096B	609.194M	2026-05-19	200M	Series D	Financial Services
UPGR.PVT
Upgrade	
3.25
+30.00%	5.048B	795.503M	2025-11-30	49.139M	Tender Offer 1	Financial Services
PSIQ.PVT
PsiQuantum	
28.54
-4.87%	4.858B	1.667B	2025-09-09	969.825M	Series E	Hardware
COHS.PVT
Cohesity	
15.67
0.00%	4.69B	1.959B	2024-12-09	27.5M	Series H-1	Data and Analytics
LIG.PVT
Lightmatter	
84.48
+76.00%	4.633B	822.484M	2024-10-15	13.483M	Series C-3	Hardware
REMA.PVT
Redwood Materials	
36.38
-19.16%	4.603B	2.175B	2025-10-22	350M	Series E	Energy
BREX.PVT
Brex	
12.23
+25.44%	4.331B	1.246B	2022-01-10	300M	Series D-2	Financial Services
CRIB.PVT
Cribl	
